,train/box_loss,val/box_loss,train/obj_loss,val/obj_loss,train/cls_loss,val/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,,x/lr0,x/lr1,x/lr2
0,0.079322,0.068932,0.025937,0.015391,0.020804,0.01057,0.82032,0.14186,0.091134,0.020556,,0.0033161,0.0033161,0.070155
1,0.062217,0.055697,0.017661,0.010377,0.0075694,0.0065506,0.24301,0.51476,0.32802,0.10275,,0.0066275,0.0066275,0.040133
2,0.057622,0.056469,0.013737,0.0084325,0.0058746,0.0046173,0.45681,0.65815,0.4895,0.15786,,0.0099168,0.0099168,0.01009
3,0.048999,0.037014,0.012664,0.0075686,0.0042799,0.0033986,0.64738,0.7776,0.72573,0.33062,,0.009901,0.009901,0.009901
4,0.042196,0.029375,0.011996,0.0071002,0.0033513,0.0029347,0.75866,0.79708,0.79259,0.40985,,0.009901,0.009901,0.009901
5,0.037509,0.034003,0.011137,0.0066846,0.0028671,0.0027589,0.808,0.80494,0.82081,0.42598,,0.009868,0.009868,0.009868
6,0.03443,0.02677,0.010798,0.0064249,0.002574,0.0023956,0.8732,0.80241,0.88287,0.49602,,0.009835,0.009835,0.009835
7,0.032339,0.032121,0.010152,0.0060965,0.0023994,0.0020784,0.84479,0.85573,0.89271,0.45775,,0.009802,0.009802,0.009802
8,0.030842,0.023885,0.0099619,0.0063045,0.0022403,0.0021719,0.86501,0.8489,0.89863,0.52323,,0.009769,0.009769,0.009769
9,0.028826,0.022943,0.0093235,0.0057377,0.0019566,0.0018231,0.84649,0.88335,0.89496,0.53269,,0.009736,0.009736,0.009736
10,0.028971,0.022989,0.0091745,0.0056947,0.0018558,0.0017658,0.89855,0.88855,0.93217,0.57526,,0.009703,0.009703,0.009703
11,0.027422,0.022165,0.0093274,0.0052843,0.001831,0.0016249,0.92288,0.86645,0.92102,0.51169,,0.00967,0.00967,0.00967
12,0.025996,0.019872,0.008748,0.0053734,0.0016522,0.0017549,0.9235,0.88367,0.92697,0.55875,,0.009637,0.009637,0.009637
13,0.025581,0.021781,0.0089023,0.0053131,0.0017076,0.0016818,0.92513,0.90485,0.93682,0.58255,,0.009604,0.009604,0.009604
14,0.025339,0.021037,0.0085083,0.0052537,0.001563,0.0015337,0.89381,0.93829,0.9427,0.5888,,0.009571,0.009571,0.009571
15,0.024529,0.020279,0.0085081,0.0051637,0.0015571,0.0014707,0.93031,0.90823,0.94503,0.58935,,0.009538,0.009538,0.009538
16,0.024136,0.01879,0.0084924,0.0050245,0.0014472,0.0014198,0.93926,0.91135,0.9516,0.59645,,0.009505,0.009505,0.009505
17,0.023732,0.019278,0.0082499,0.0048271,0.0013712,0.0013644,0.94525,0.9209,0.95343,0.63085,,0.009472,0.009472,0.009472
18,0.024166,0.019404,0.0083039,0.0049242,0.0014084,0.0013466,0.92442,0.93085,0.95513,0.63387,,0.009439,0.009439,0.009439
19,0.023383,0.017906,0.0083244,0.0047435,0.0013139,0.0012596,0.94032,0.92001,0.94219,0.61429,,0.009406,0.009406,0.009406
20,0.022437,0.018335,0.0080397,0.004929,0.0012308,0.0012574,0.92305,0.93359,0.95073,0.62445,,0.009373,0.009373,0.009373
21,0.022557,0.018865,0.0079393,0.0049139,0.0012126,0.0012971,0.90315,0.94016,0.95222,0.61094,,0.00934,0.00934,0.00934
22,0.022321,0.018067,0.0078694,0.0046646,0.0011902,0.0012061,0.93474,0.94938,0.95949,0.62387,,0.009307,0.009307,0.009307
23,0.022363,0.016762,0.0077754,0.00467,0.0012254,0.0011918,0.92022,0.92597,0.95236,0.63821,,0.009274,0.009274,0.009274
24,0.021541,0.017624,0.0075459,0.0046425,0.0010993,0.0013117,0.93181,0.94034,0.96502,0.62411,,0.009241,0.009241,0.009241
25,0.021646,0.016995,0.0076146,0.0046081,0.0011243,0.0011524,0.91631,0.92994,0.96031,0.63662,,0.009208,0.009208,0.009208
26,0.020658,0.016938,0.0074892,0.0047406,0.0010745,0.0011804,0.92342,0.93428,0.94922,0.64482,,0.009175,0.009175,0.009175
27,0.02007,0.016933,0.0074662,0.0046679,0.0010571,0.001097,0.94294,0.91532,0.95524,0.64745,,0.009142,0.009142,0.009142
28,0.020543,0.016637,0.0072524,0.0044559,0.0011039,0.0010653,0.91687,0.9462,0.9598,0.65311,,0.009109,0.009109,0.009109
29,0.020335,0.015529,0.0072362,0.0043841,0.0010097,0.0010564,0.92846,0.93986,0.95957,0.65593,,0.009076,0.009076,0.009076
30,0.019936,0.016163,0.0072785,0.0043234,0.0009946,0.0010366,0.92934,0.94038,0.95903,0.64731,,0.009043,0.009043,0.009043
31,0.019947,0.015614,0.0071505,0.004324,0.0009873,0.0010778,0.9294,0.94838,0.96215,0.66933,,0.00901,0.00901,0.00901
32,0.019571,0.015591,0.0070669,0.0043248,0.00094051,0.00093823,0.95317,0.93633,0.96362,0.67758,,0.008977,0.008977,0.008977
33,0.019273,0.016074,0.0069961,0.0043373,0.00097766,0.0011116,0.95438,0.9475,0.97172,0.64534,,0.008944,0.008944,0.008944
34,0.018965,0.014905,0.0069338,0.0043165,0.00089698,0.00099333,0.93955,0.94983,0.96414,0.677,,0.008911,0.008911,0.008911
35,0.018875,0.014492,0.0069596,0.0041695,0.00092374,0.00098105,0.94479,0.93979,0.96149,0.68957,,0.008878,0.008878,0.008878
36,0.019288,0.014992,0.0069778,0.0043038,0.00092021,0.00095888,0.9367,0.95355,0.96647,0.68301,,0.008845,0.008845,0.008845
37,0.019102,0.015184,0.0069036,0.0042286,0.00089454,0.0010187,0.94345,0.95185,0.97218,0.67742,,0.008812,0.008812,0.008812
38,0.018794,0.01531,0.006891,0.0043694,0.00086803,0.00093563,0.94572,0.93613,0.96547,0.68051,,0.008779,0.008779,0.008779
39,0.018912,0.014581,0.0068382,0.0042214,0.00086905,0.00090605,0.94082,0.95892,0.9713,0.69253,,0.008746,0.008746,0.008746
40,0.018107,0.014977,0.0066098,0.0042892,0.00083706,0.00087879,0.95578,0.9554,0.97497,0.69184,,0.008713,0.008713,0.008713
41,0.017765,0.015028,0.0066691,0.0041759,0.0008744,0.00090862,0.9545,0.95891,0.97147,0.68459,,0.00868,0.00868,0.00868
42,0.018038,0.014243,0.0066328,0.0040884,0.00085483,0.00087225,0.94469,0.96275,0.976,0.68719,,0.008647,0.008647,0.008647
43,0.01771,0.014352,0.0068166,0.0041603,0.00084305,0.00082237,0.95351,0.95514,0.97463,0.70448,,0.008614,0.008614,0.008614
44,0.017762,0.014165,0.0066776,0.0041326,0.00083137,0.00081274,0.95449,0.95382,0.96531,0.69081,,0.008581,0.008581,0.008581
45,0.017679,0.014122,0.0066536,0.0041082,0.00078198,0.00080635,0.96166,0.95175,0.97255,0.69638,,0.008548,0.008548,0.008548
46,0.017794,0.014137,0.0064731,0.0041779,0.00082914,0.00081771,0.94845,0.96327,0.97582,0.70535,,0.008515,0.008515,0.008515
47,0.017374,0.014317,0.0066363,0.004266,0.00077771,0.00081942,0.96311,0.95285,0.97652,0.70793,,0.008482,0.008482,0.008482
48,0.017186,0.013934,0.0065365,0.0041037,0.00075498,0.00078621,0.9415,0.95838,0.96214,0.70108,,0.008449,0.008449,0.008449
49,0.017011,0.015077,0.0062916,0.0041554,0.00075462,0.0008045,0.94506,0.96904,0.97571,0.68512,,0.008416,0.008416,0.008416
50,0.016873,0.014215,0.0064101,0.0042041,0.00073186,0.00089954,0.96362,0.95188,0.96744,0.69964,,0.008383,0.008383,0.008383
51,0.017075,0.013669,0.0063935,0.0040856,0.00075622,0.00079644,0.94411,0.94679,0.96533,0.70958,,0.00835,0.00835,0.00835
52,0.016921,0.014064,0.0063539,0.0041065,0.00075244,0.00078119,0.95542,0.93713,0.96308,0.70874,,0.008317,0.008317,0.008317
53,0.017134,0.014301,0.0063818,0.0041476,0.0007342,0.0010571,0.93422,0.95963,0.96715,0.68561,,0.008284,0.008284,0.008284
54,0.016866,0.013695,0.0063203,0.0040501,0.00073836,0.00077402,0.9416,0.95896,0.97206,0.7059,,0.008251,0.008251,0.008251
55,0.016677,0.013809,0.0062845,0.0041029,0.00074856,0.00076262,0.94655,0.95424,0.96884,0.70886,,0.008218,0.008218,0.008218
56,0.016247,0.013459,0.0062108,0.0040673,0.00073504,0.00070551,0.95352,0.96804,0.9759,0.72008,,0.008185,0.008185,0.008185
57,0.016497,0.013535,0.0063151,0.0040401,0.00070968,0.00073953,0.95954,0.95054,0.97612,0.70339,,0.008152,0.008152,0.008152
58,0.016152,0.01352,0.006117,0.0040028,0.00069641,0.0007236,0.95377,0.95619,0.974,0.72072,,0.008119,0.008119,0.008119
59,0.016147,0.013107,0.0061639,0.0039942,0.00067304,0.0007649,0.94823,0.96448,0.97154,0.72054,,0.008086,0.008086,0.008086
60,0.015918,0.013211,0.0060403,0.0040583,0.0006885,0.00072564,0.95063,0.95745,0.97153,0.7065,,0.008053,0.008053,0.008053
61,0.015729,0.01383,0.006007,0.0040771,0.00064959,0.00081275,0.96614,0.95594,0.97834,0.71362,,0.00802,0.00802,0.00802
62,0.015287,0.012821,0.0060309,0.003955,0.00067009,0.00077063,0.94239,0.9701,0.97203,0.72759,,0.007987,0.007987,0.007987
63,0.015689,0.013178,0.0060749,0.0040223,0.00066465,0.00070468,0.96238,0.94624,0.96831,0.71488,,0.007954,0.007954,0.007954
64,0.015654,0.012643,0.0062432,0.0039552,0.00069996,0.00068742,0.96513,0.95146,0.9756,0.72473,,0.007921,0.007921,0.007921
65,0.015592,0.014315,0.0060127,0.0038848,0.00067561,0.00064421,0.9433,0.9738,0.97312,0.7164,,0.007888,0.007888,0.007888
66,0.015665,0.013252,0.0059073,0.0039908,0.00065621,0.00067754,0.96106,0.96067,0.97469,0.72137,,0.007855,0.007855,0.007855
67,0.015236,0.012944,0.0060207,0.0039491,0.00068032,0.0010421,0.96044,0.96462,0.97166,0.73275,,0.007822,0.007822,0.007822
68,0.015318,0.013043,0.0059355,0.0039411,0.00063833,0.0008551,0.93901,0.96008,0.9781,0.71842,,0.007789,0.007789,0.007789
69,0.015153,0.01289,0.0057913,0.0039609,0.00061172,0.00071925,0.97043,0.94898,0.97291,0.71822,,0.007756,0.007756,0.007756
70,0.015234,0.013439,0.0059842,0.00401,0.00064411,0.0019062,0.963,0.94727,0.97378,0.71578,,0.007723,0.007723,0.007723
71,0.015124,0.012788,0.0057128,0.0039627,0.00061438,0.00072367,0.95772,0.96166,0.97431,0.72667,,0.00769,0.00769,0.00769
72,0.015111,0.01352,0.0057627,0.0040471,0.00064589,0.0010466,0.94808,0.95528,0.97315,0.72355,,0.007657,0.007657,0.007657
