               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07708,            0.028201,            0.020728,              0.8846,             0.15746,             0.14883,            0.062251,            0.058862,            0.016665,            0.008434,           0.0033261,           0.0033261,            0.070065
                   1,            0.061018,            0.019048,           0.0071071,             0.18002,             0.44011,              0.2561,            0.073067,            0.051494,            0.011146,           0.0058597,           0.0066375,           0.0066375,            0.040043
                   2,             0.05972,             0.01525,           0.0059632,             0.50282,             0.56909,              0.4878,             0.15257,            0.052403,            0.009866,           0.0044685,           0.0099269,           0.0099269,           0.0099987
                   3,            0.051317,            0.014529,           0.0043128,             0.74164,              0.6788,             0.73285,             0.29425,            0.035339,           0.0091408,           0.0032168,            0.009901,            0.009901,            0.009901
                   4,            0.041992,            0.013506,           0.0033063,              0.8194,             0.74869,             0.82675,             0.41902,            0.028185,           0.0083528,           0.0025578,            0.009901,            0.009901,            0.009901
                   5,            0.038516,            0.013289,           0.0029757,             0.81292,             0.79488,             0.83104,             0.40192,            0.028155,           0.0081685,           0.0024485,            0.009868,            0.009868,            0.009868
                   6,            0.034314,            0.012661,           0.0025733,             0.82428,               0.739,             0.77391,             0.34092,            0.029042,            0.007591,           0.0021362,            0.009835,            0.009835,            0.009835
                   7,            0.032559,            0.011897,           0.0023609,             0.89203,             0.80975,             0.88747,             0.47948,            0.024196,           0.0070151,            0.002016,            0.009802,            0.009802,            0.009802
                   8,            0.030562,            0.011904,           0.0022467,              0.8381,             0.86166,             0.88909,             0.46154,            0.022773,           0.0068382,           0.0017671,            0.009769,            0.009769,            0.009769
                   9,            0.028973,             0.01115,           0.0020241,             0.88859,             0.84187,             0.89011,             0.45331,            0.023508,           0.0063451,            0.001802,            0.009736,            0.009736,            0.009736
                  10,            0.028068,            0.010718,           0.0018517,             0.89904,             0.86361,             0.91305,             0.53932,            0.021223,           0.0062894,           0.0015915,            0.009703,            0.009703,            0.009703
                  11,            0.028009,            0.010757,           0.0019621,             0.85976,             0.88184,             0.91047,             0.50547,             0.02158,           0.0062175,           0.0016237,             0.00967,             0.00967,             0.00967
                  12,            0.026652,            0.010204,           0.0016342,             0.88405,             0.89146,             0.91658,             0.56185,             0.01992,           0.0059293,           0.0014997,            0.009637,            0.009637,            0.009637
                  13,            0.026549,           0.0099893,           0.0016429,             0.85915,             0.89357,             0.90646,             0.52457,            0.019837,           0.0059468,           0.0015334,            0.009604,            0.009604,            0.009604
                  14,            0.025568,           0.0099795,           0.0015595,             0.89809,              0.8884,             0.91955,             0.54319,            0.019179,           0.0058961,           0.0013753,            0.009571,            0.009571,            0.009571
                  15,            0.024792,           0.0097339,           0.0015042,             0.88153,             0.88874,             0.91624,             0.51796,            0.018377,           0.0060833,           0.0013543,            0.009538,            0.009538,            0.009538
                  16,            0.024195,           0.0096379,           0.0014222,               0.898,             0.92816,             0.94134,             0.58103,            0.018352,            0.005613,           0.0012459,            0.009505,            0.009505,            0.009505
                  17,            0.023426,           0.0095669,           0.0015258,             0.89486,             0.92831,             0.93587,             0.57633,            0.017709,           0.0055017,           0.0012412,            0.009472,            0.009472,            0.009472
                  18,            0.022872,           0.0091394,           0.0013805,             0.92041,             0.91953,              0.9438,             0.60015,            0.017816,            0.005562,            0.001157,            0.009439,            0.009439,            0.009439
                  19,            0.022929,           0.0091138,           0.0013439,             0.91277,             0.93844,             0.94684,             0.58263,            0.018089,           0.0054486,           0.0011915,            0.009406,            0.009406,            0.009406
                  20,            0.022282,           0.0089491,           0.0013646,              0.9123,             0.92689,             0.94547,             0.59233,            0.017134,           0.0052555,           0.0012123,            0.009373,            0.009373,            0.009373
                  21,            0.022363,           0.0090106,           0.0013212,             0.91421,             0.93005,             0.94172,              0.6029,            0.017389,           0.0053706,           0.0011383,             0.00934,             0.00934,             0.00934
                  22,            0.022756,           0.0089898,           0.0013721,             0.92602,             0.91031,             0.93784,             0.58822,            0.017495,           0.0052646,           0.0010543,            0.009307,            0.009307,            0.009307
                  23,            0.021244,           0.0087076,           0.0012079,             0.90889,             0.93508,             0.94459,             0.59956,            0.017973,           0.0051596,           0.0010342,            0.009274,            0.009274,            0.009274
                  24,            0.021358,           0.0087011,           0.0013201,             0.93374,             0.93213,             0.95457,             0.61197,            0.016126,           0.0049977,           0.0010909,            0.009241,            0.009241,            0.009241
                  25,            0.021419,           0.0087731,           0.0011616,             0.93973,             0.92358,             0.95444,              0.6313,            0.016299,           0.0052139,           0.0010941,            0.009208,            0.009208,            0.009208
                  26,             0.02041,           0.0084784,           0.0010592,             0.90259,             0.93584,             0.95088,              0.6336,            0.015236,           0.0051177,           0.0010956,            0.009175,            0.009175,            0.009175
                  27,            0.019856,           0.0083351,           0.0010311,             0.92616,             0.92795,             0.94861,             0.61863,            0.015669,           0.0049615,           0.0010186,            0.009142,            0.009142,            0.009142
                  28,            0.020381,           0.0083697,           0.0010227,             0.92285,             0.94219,             0.95517,             0.63062,              0.0158,           0.0049087,           0.0010188,            0.009109,            0.009109,            0.009109
                  29,            0.019467,           0.0082584,           0.0010684,             0.93667,             0.94231,             0.95577,             0.64707,            0.015154,           0.0048518,          0.00095876,            0.009076,            0.009076,            0.009076
                  30,            0.019707,            0.008239,           0.0010901,             0.94189,             0.95459,             0.96192,             0.64354,            0.015465,           0.0048129,           0.0009564,            0.009043,            0.009043,            0.009043
                  31,            0.019331,           0.0080989,          0.00098815,             0.95915,             0.91406,              0.9615,             0.65447,            0.014597,           0.0048974,          0.00093885,             0.00901,             0.00901,             0.00901
