epoch,train/box_loss,val/box_loss,train/obj_loss,val/obj_loss,train/cls_loss,val/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,x/lr0,x/lr1,x/lr2
0,0.08184,0.057636,0.026666,0.01704,0.022794,0.008905,0.91038,0.16307,0.16633,0.039136,0.003325,0.003325,0.070075
1,0.065647,0.057084,0.018795,0.011286,0.0086736,0.0061367,0.6796,0.17944,0.204,0.065138,0.0066363,0.0066363,0.040053
2,0.063524,0.049841,0.015188,0.010012,0.0069392,0.0051052,0.4617,0.57492,0.44807,0.13002,0.0099257,0.0099257,0.010009
3,0.054468,0.037957,0.013794,0.0093669,0.0050646,0.0033588,0.56728,0.65996,0.56589,0.21725,0.009901,0.009901,0.009901
4,0.046177,0.031768,0.012644,0.0083203,0.0037803,0.0027294,0.7063,0.72563,0.71768,0.33711,0.009901,0.009901,0.009901
5,0.041069,0.029503,0.012144,0.0080977,0.0033168,0.0025352,0.83409,0.75555,0.81332,0.39301,0.009868,0.009868,0.009868
6,0.037981,0.028763,0.011671,0.0075045,0.0030978,0.0023724,0.83699,0.82647,0.85895,0.43108,0.009835,0.009835,0.009835
7,0.035783,0.026373,0.011132,0.0071121,0.0026345,0.0021562,0.85726,0.81799,0.85715,0.448,0.009802,0.009802,0.009802
8,0.035536,0.026748,0.01107,0.0073524,0.0024329,0.0020946,0.86295,0.82033,0.87964,0.46095,0.009769,0.009769,0.009769
9,0.032996,0.023834,0.010806,0.0067993,0.002337,0.0018611,0.87746,0.81557,0.87783,0.46917,0.009736,0.009736,0.009736
10,0.03146,0.023026,0.010725,0.0067083,0.0021376,0.001733,0.9092,0.84325,0.90929,0.50377,0.009703,0.009703,0.009703
11,0.031141,0.020741,0.010261,0.0063867,0.0020812,0.0017519,0.90741,0.86846,0.92213,0.52933,0.00967,0.00967,0.00967
12,0.029542,0.021225,0.010087,0.0061246,0.0019944,0.0016176,0.87626,0.90305,0.92574,0.5402,0.009637,0.009637,0.009637
13,0.028694,0.022175,0.0098612,0.0062259,0.0018561,0.0016426,0.87831,0.87053,0.91007,0.48794,0.009604,0.009604,0.009604
14,0.028229,0.020971,0.0096661,0.0061849,0.0019221,0.0016369,0.90371,0.86741,0.918,0.53751,0.009571,0.009571,0.009571
15,0.029256,0.021612,0.010264,0.0063273,0.0020392,0.0015053,0.89644,0.86057,0.91675,0.53734,0.009538,0.009538,0.009538
16,0.027846,0.021282,0.0098237,0.0062474,0.0017157,0.0013993,0.9019,0.87455,0.91605,0.552,0.009505,0.009505,0.009505
17,0.027888,0.021062,0.0097169,0.0061347,0.0017419,0.00135,0.92545,0.85469,0.91898,0.54455,0.009472,0.009472,0.009472
18,0.026801,0.018698,0.0093796,0.0056225,0.0016473,0.0014189,0.86293,0.87341,0.91661,0.55204,0.009439,0.009439,0.009439
19,0.026161,0.018956,0.0092744,0.0058136,0.0016909,0.0012652,0.91208,0.87716,0.93082,0.57111,0.009406,0.009406,0.009406
20,0.025522,0.019189,0.0091545,0.0056502,0.0014775,0.0013587,0.90801,0.89843,0.93953,0.56561,0.009373,0.009373,0.009373
21,0.02521,0.018034,0.0090515,0.0055883,0.0014441,0.0013703,0.90072,0.913,0.94254,0.57526,0.00934,0.00934,0.00934
22,0.025311,0.018288,0.0086608,0.0055408,0.0014074,0.0012037,0.9206,0.91226,0.94208,0.57906,0.009307,0.009307,0.009307
23,0.025355,0.018703,0.0086075,0.0055529,0.0013667,0.001222,0.91609,0.89059,0.93093,0.58394,0.009274,0.009274,0.009274
24,0.024784,0.016353,0.0087277,0.0053539,0.0012898,0.0013015,0.92587,0.90361,0.94033,0.60294,0.009241,0.009241,0.009241
25,0.02425,0.017366,0.0083135,0.0053497,0.0013131,0.0012099,0.91923,0.92878,0.95444,0.60841,0.009208,0.009208,0.009208
26,0.023698,0.016781,0.0083355,0.0051936,0.001289,0.0012988,0.93191,0.91564,0.94881,0.60723,0.009175,0.009175,0.009175
27,0.023032,0.015672,0.0082905,0.0051945,0.0012235,0.0011186,0.93238,0.93424,0.95504,0.63288,0.009142,0.009142,0.009142
28,0.023,0.016527,0.0081462,0.0052124,0.0011777,0.0010681,0.94187,0.90567,0.95074,0.59951,0.009109,0.009109,0.009109
29,0.022493,0.015736,0.00797,0.0050483,0.0011178,0.0010891,0.93256,0.93048,0.94801,0.60918,0.009076,0.009076,0.009076
30,0.022277,0.01629,0.0079038,0.005085,0.0011714,0.001071,0.92707,0.91653,0.94868,0.61234,0.009043,0.009043,0.009043
31,0.022172,0.016643,0.0080017,0.0050725,0.0011537,0.0010049,0.9443,0.90355,0.94734,0.62705,0.00901,0.00901,0.00901
32,0.021805,0.015932,0.0076424,0.0050269,0.0010938,0.00099304,0.91,0.93256,0.94948,0.60772,0.008977,0.008977,0.008977
33,0.02192,0.015655,0.0078526,0.0049543,0.0010734,0.0010486,0.93961,0.90346,0.9496,0.61045,0.008944,0.008944,0.008944
34,0.021844,0.01552,0.0077094,0.005108,0.0010975,0.00099276,0.94462,0.91511,0.95447,0.62737,0.008911,0.008911,0.008911
35,0.021494,0.015219,0.0077451,0.0050538,0.0010036,0.00098099,0.92447,0.93914,0.95208,0.62608,0.008878,0.008878,0.008878
36,0.02165,0.01607,0.0078403,0.0050665,0.0010164,0.0011177,0.93496,0.92662,0.9497,0.63018,0.008845,0.008845,0.008845
37,0.020618,0.015084,0.0075804,0.0049023,0.0010758,0.0009666,0.93271,0.93105,0.95108,0.65022,0.008812,0.008812,0.008812
38,0.020978,0.014723,0.0075414,0.0049201,0.0010062,0.0010334,0.94231,0.9209,0.95165,0.64992,0.008779,0.008779,0.008779
39,0.020821,0.015548,0.0074407,0.0049315,0.001006,0.0010486,0.90854,0.94413,0.95541,0.64999,0.008746,0.008746,0.008746
40,0.02051,0.014897,0.0075312,0.0049741,0.0010126,0.0012661,0.90121,0.95179,0.95755,0.64703,0.008713,0.008713,0.008713
41,0.020382,0.016227,0.0073865,0.0049098,0.0010136,0.0011487,0.92197,0.9299,0.95556,0.6581,0.00868,0.00868,0.00868
42,0.020357,0.015274,0.007385,0.0048884,0.0010077,0.00099755,0.93309,0.93652,0.95666,0.624,0.008647,0.008647,0.008647
43,0.020087,0.014436,0.0072534,0.0048272,0.00093136,0.00094677,0.9396,0.93737,0.95464,0.65806,0.008614,0.008614,0.008614
44,0.019356,0.014635,0.0070269,0.0048058,0.00091514,0.00095219,0.9359,0.94131,0.96118,0.66041,0.008581,0.008581,0.008581
45,0.019944,0.014405,0.0071416,0.0048991,0.0010428,0.0010087,0.9273,0.93489,0.95919,0.64974,0.008548,0.008548,0.008548
46,0.019471,0.014384,0.0071531,0.0046527,0.00091025,0.00094036,0.92967,0.94297,0.95524,0.6501,0.008515,0.008515,0.008515
47,0.019281,0.014651,0.0069603,0.0047194,0.00090799,0.0010702,0.91981,0.92944,0.94935,0.65089,0.008482,0.008482,0.008482
48,0.019266,0.013863,0.0069763,0.0046194,0.00088442,0.0010044,0.92449,0.9502,0.9605,0.66526,0.008449,0.008449,0.008449
49,0.019114,0.014704,0.0070213,0.0046034,0.00089088,0.00092747,0.94712,0.93884,0.9576,0.65466,0.008416,0.008416,0.008416
50,0.019513,0.013972,0.0071122,0.0046963,0.00089524,0.00096305,0.94103,0.93948,0.95855,0.66327,0.008383,0.008383,0.008383
51,0.01896,0.013237,0.0068555,0.0046233,0.00088307,0.00094482,0.9444,0.93908,0.96297,0.67498,0.00835,0.00835,0.00835
52,0.018228,0.012979,0.0067277,0.0045567,0.00085318,0.00089157,0.93727,0.9516,0.96034,0.69083,0.008317,0.008317,0.008317
53,0.018445,0.013928,0.006804,0.0046968,0.0008672,0.00090227,0.93785,0.94189,0.96621,0.67407,0.008284,0.008284,0.008284
54,0.01889,0.013148,0.0069761,0.0046461,0.00084839,0.00095802,0.93641,0.9352,0.95786,0.67865,0.008251,0.008251,0.008251
55,0.018498,0.01319,0.0067294,0.0046471,0.00083054,0.00093724,0.94456,0.94264,0.96024,0.67508,0.008218,0.008218,0.008218
56,0.018936,0.013575,0.0068981,0.004581,0.0008307,0.00089633,0.94098,0.94272,0.96273,0.6774,0.008185,0.008185,0.008185
57,0.018255,0.013524,0.006751,0.0045523,0.00077556,0.00085425,0.92455,0.95246,0.959,0.67313,0.008152,0.008152,0.008152
58,0.017971,0.013459,0.0067923,0.0047061,0.00077838,0.00095859,0.9363,0.94964,0.95939,0.67158,0.008119,0.008119,0.008119
59,0.017595,0.013683,0.0067211,0.0045517,0.00078553,0.00084118,0.94427,0.94066,0.96236,0.67153,0.008086,0.008086,0.008086
60,0.017979,0.013914,0.0067279,0.0045607,0.00076513,0.00081521,0.94495,0.95375,0.96946,0.6797,0.008053,0.008053,0.008053
61,0.017773,0.013271,0.0065011,0.0044835,0.0007889,0.0008104,0.94068,0.95173,0.96077,0.67492,0.00802,0.00802,0.00802
62,0.018067,0.013181,0.0066278,0.0045045,0.00078464,0.00085919,0.93495,0.95701,0.96465,0.68933,0.007987,0.007987,0.007987
63,0.017225,0.013133,0.0065206,0.004631,0.00082877,0.00077868,0.94649,0.94333,0.96132,0.68371,0.007954,0.007954,0.007954
64,0.017284,0.013151,0.0064626,0.0044508,0.00076192,0.00076736,0.94372,0.94439,0.96126,0.69141,0.007921,0.007921,0.007921
65,0.017546,0.013159,0.0065952,0.0044796,0.00077666,0.00086401,0.94278,0.94226,0.96396,0.69001,0.007888,0.007888,0.007888
66,0.017685,0.012548,0.0064178,0.0044842,0.00075618,0.00083812,0.95552,0.94139,0.96345,0.68585,0.007855,0.007855,0.007855
67,0.017457,0.014037,0.0063468,0.0045995,0.00075764,0.00095549,0.93178,0.9422,0.96065,0.68682,0.007822,0.007822,0.007822
68,0.016609,0.012925,0.0062192,0.0045773,0.00068506,0.00073564,0.93431,0.94899,0.96243,0.67251,0.007789,0.007789,0.007789
69,0.017039,0.01221,0.0064314,0.0044061,0.0006826,0.00085021,0.93826,0.9559,0.96086,0.69955,0.007756,0.007756,0.007756
70,0.016976,0.01268,0.0063755,0.0043798,0.00070141,0.00086021,0.91845,0.91911,0.93681,0.67372,0.007723,0.007723,0.007723
71,0.017327,0.012785,0.0063227,0.0043974,0.00069005,0.0007757,0.93087,0.93108,0.95443,0.69274,0.00769,0.00769,0.00769
72,0.017357,0.012784,0.0063752,0.0044966,0.00078836,0.00085031,0.94113,0.95075,0.96226,0.67989,0.007657,0.007657,0.007657
73,0.016957,0.012759,0.0064566,0.0044587,0.00076489,0.00078843,0.93702,0.94421,0.96314,0.6891,0.007624,0.007624,0.007624
74,0.016795,0.012488,0.0063485,0.0043963,0.00076305,0.00075669,0.93239,0.94933,0.96382,0.68577,0.007591,0.007591,0.007591
75,0.01676,0.012091,0.0062701,0.0045056,0.00073769,0.00083191,0.93989,0.95722,0.96456,0.70308,0.007558,0.007558,0.007558
76,0.016616,0.012801,0.006562,0.0045215,0.00071056,0.00083687,0.92998,0.95834,0.96408,0.69158,0.007525,0.007525,0.007525
77,0.016128,0.012313,0.0062504,0.0042664,0.00064784,0.00078851,0.94949,0.94016,0.9631,0.69591,0.007492,0.007492,0.007492
78,0.016555,0.012701,0.0063181,0.0044145,0.00064148,0.0010054,0.92235,0.95547,0.96234,0.69169,0.007459,0.007459,0.007459
79,0.016081,0.012858,0.0061003,0.004454,0.00069301,0.00074186,0.93942,0.94572,0.95971,0.68488,0.007426,0.007426,0.007426
80,0.016664,0.012429,0.0063334,0.0044598,0.00066661,0.00085499,0.93793,0.95517,0.96524,0.68107,0.007393,0.007393,0.007393
81,0.015992,0.012727,0.0063384,0.0044287,0.00064753,0.00083631,0.9498,0.93327,0.9597,0.69141,0.00736,0.00736,0.00736
82,0.015977,0.01217,0.0060681,0.0043832,0.0006063,0.00076758,0.94381,0.9523,0.96386,0.69405,0.007327,0.007327,0.007327
83,0.016111,0.012409,0.0060456,0.004444,0.00068798,0.00079521,0.93821,0.95906,0.96557,0.69546,0.007294,0.007294,0.007294
84,0.016239,0.012269,0.0059428,0.0043378,0.0006682,0.00099952,0.94225,0.95558,0.96678,0.71244,0.007261,0.007261,0.007261
85,0.015781,0.012303,0.0060558,0.0044593,0.00062742,0.0007957,0.94222,0.96568,0.97118,0.70737,0.007228,0.007228,0.007228
86,0.015561,0.011884,0.0059477,0.0043263,0.00061533,0.00073206,0.95081,0.94762,0.96275,0.70738,0.007195,0.007195,0.007195
87,0.015438,0.011755,0.0060273,0.0042655,0.00062948,0.00071379,0.95469,0.94322,0.96329,0.71471,0.007162,0.007162,0.007162
